utility,type,period,basic_charge_limit,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge,units,Notes
electric,customer,,,,,,,,,300,$/month,
electric,energy,,0,1,5,0,24,0,6,0.019934,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,6,9,0,14,0,4,0.021062,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,6,9,14,19,0,4,0.078526,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,6,9,19,24,0,4,0.021062,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,6,9,0,24,5,6,0.021062,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,10,10,0,24,0,6,0.025274,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,energy,,0,11,12,0,24,0,6,0.022552,$/kWh,Includes Fuel Cost Adjustment (FCA) Factor
electric,demand,maximum,0,1,12,0,24,0,6,7.128,$/kW,
gas,customer,,,,,,,,,93.14,$/month,
gas,energy,,0,1,10,0,24,0,6,0.2837,$/therm or $/m3,Includes voluntary fixed price of gas
gas,energy,,0,11,12,0,24,0,6,0.454,$/therm or $/m3,Includes voluntary fixed price of gas
